content,T
"approximately half Block Groups <1H OCEAN, which are predominantly single big family, compared to Block Groups INLAND, are aged",0.8632733952469159
"almost_none Block Groups <1H OCEAN, which are practically worthless, compared to Block Groups INLAND, are aged",1.0
"almost_none Block Groups <1H OCEAN, which are predominantly single big family AND practically worthless, compared to Block Groups INLAND, are aged",1.0
"approximately half Block Groups <1H OCEAN, which are aged, compared to Block Groups INLAND, are predominantly single big family",0.7067977542420643
"almost_none Block Groups <1H OCEAN, which are practically worthless, compared to Block Groups INLAND, are predominantly single big family",1.0
"almost_none Block Groups <1H OCEAN, which are aged AND practically worthless, compared to Block Groups INLAND, are predominantly single big family",1.0
"almost_none Block Groups <1H OCEAN, which are aged, compared to Block Groups INLAND, are practically worthless",1.0
"almost_none Block Groups <1H OCEAN, which are predominantly single big family, compared to Block Groups INLAND, are practically worthless",1.0
"almost_none Block Groups <1H OCEAN, which are aged AND predominantly single big family, compared to Block Groups INLAND, are practically worthless",1.0
"almost_none Block Groups <1H OCEAN, which are practically worthless, compared to Block Groups INLAND, are aged AND predominantly single big family",0.8088854620046538
"almost_none Block Groups <1H OCEAN, which are predominantly single big family, compared to Block Groups INLAND, are aged AND practically worthless",1.0
"almost_none Block Groups <1H OCEAN, which are aged, compared to Block Groups INLAND, are predominantly single big family AND practically worthless",1.0
